Hour,Node,Demand_kWh,Loss_Percentage,Storage_Capacity_kWh,Source,Supply_kWh,Cost_per_kWh
1,Node_1,152,7.0,429,Solar,577,0.11
1,Node_1,152,7.0,429,Wind,353,0.17
1,Node_1,152,7.0,429,Hydro,497,0.17
1,Node_10,78,9.74,393,Solar,512,0.11
1,Node_10,78,9.74,393,Wind,311,0.17
1,Node_10,78,9.74,393,Hydro,346,0.17
1,Node_11,164,3.46,158,Solar,471,0.11
1,Node_11,164,3.46,158,Wind,508,0.17
1,Node_11,164,3.46,158,Hydro,377,0.17
1,Node_12,119,2.18,237,Solar,587,0.11
1,Node_12,119,2.18,237,Wind,313,0.17
1,Node_12,119,2.18,237,Hydro,423,0.17
1,Node_13,88,7.76,198,Solar,473,0.11
1,Node_13,88,7.76,198,Wind,420,0.17
1,Node_13,88,7.76,198,Hydro,374,0.17
1,Node_14,121,5.34,291,Solar,412,0.11
1,Node_14,121,5.34,291,Wind,319,0.17
1,Node_14,121,5.34,291,Hydro,436,0.17
1,Node_15,162,2.71,342,Solar,421,0.11
1,Node_15,162,2.71,342,Wind,374,0.17
1,Node_15,162,2.71,342,Hydro,389,0.17
1,Node_16,164,7.47,418,Solar,331,0.11
1,Node_16,164,7.47,418,Wind,542,0.17
1,Node_16,164,7.47,418,Hydro,360,0.17
1,Node_17,91,6.36,148,Solar,521,0.11
1,Node_17,91,6.36,148,Wind,522,0.17
1,Node_17,91,6.36,148,Hydro,437,0.17
1,Node_18,62,9.84,131,Solar,418,0.11
1,Node_18,62,9.84,131,Wind,369,0.17
1,Node_18,62,9.84,131,Hydro,349,0.17
1,Node_19,122,3.82,490,Solar,338,0.11
1,Node_19,122,3.82,490,Wind,510,0.17
1,Node_19,122,3.82,490,Hydro,558,0.17
1,Node_2,90,5.96,197,Solar,567,0.11
1,Node_2,90,5.96,197,Wind,400,0.17
1,Node_2,90,5.96,197,Hydro,406,0.17
1,Node_20,153,5.23,376,Solar,532,0.11
1,Node_20,153,5.23,376,Wind,485,0.17
1,Node_20,153,5.23,376,Hydro,412,0.17
1,Node_21,109,6.34,119,Solar,317,0.11
1,Node_21,109,6.34,119,Wind,431,0.17
1,Node_21,109,6.34,119,Hydro,553,0.17
1,Node_22,55,8.33,253,Solar,448,0.11
1,Node_22,55,8.33,253,Wind,410,0.17
1,Node_22,55,8.33,253,Hydro,417,0.17
1,Node_23,88,6.39,482,Solar,448,0.11
1,Node_23,88,6.39,482,Wind,431,0.17
1,Node_23,88,6.39,482,Hydro,497,0.17
1,Node_24,69,6.9,167,Solar,425,0.11
1,Node_24,69,6.9,167,Wind,319,0.17
1,Node_24,69,6.9,167,Hydro,350,0.17
1,Node_25,158,3.81,465,Solar,537,0.11
1,Node_25,158,3.81,465,Wind,323,0.17
1,Node_25,158,3.81,465,Hydro,544,0.17
1,Node_26,56,8.78,471,Solar,434,0.11
1,Node_26,56,8.78,471,Wind,526,0.17
